betId,date,gameId,game,ticker,eventTicker,marketFamily,market,period,side,line,subjectType,subjectName,source,entryTimestamp,modelVersion,joinMethod,entryPricePct,entryAmerican,entryBidPct,entryAskPct,entryMidPct,closingAskPct,closingMidPct,closingAmerican,closingTimestamp,clvAskPct,clvMidPct,clvCaptureStatus,closingLineUnavailableReason,modelProbPct,marketImpliedPctAtEntry,projectedEdgePct,expectedProfitPerDollar,confidenceTier,recommendationStatus,modelSupportStatus,stake,result,grossReturn,netProfit,roiPct,lineupConfirmationStatus,awayPitcher,homePitcher,bullpenState,park,weather,umpire,favoriteOrUnderdog,horizon,manualAnalysisNotes,reasonCodes,exactContractMetadata,dataQualityStatus,dataQualityFlags,trackingType,countsTowardBankroll,hypotheticalStake,hypotheticalNetProfit,hypotheticalRoiPct,realMoneyBlockReasons
PAPER:2026-08-01:KXMLBF7-26AUG012110BOSLAD-BOS,2026-08-01,823920,BOS @ LAD,KXMLBF7-26AUG012110BOSLAD-BOS,,inning_result,,F7,Away,,,Away,PAPER_SPREAD_LEDGER,,,exact_ticker,35.0,,,35.0,33.5,,,,,,,,,54.392,35.0,19.392,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F7,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 31}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-01:KXMLBF7-26AUG012110BOSLAD-TIE,2026-08-01,823920,BOS @ LAD,KXMLBF7-26AUG012110BOSLAD-TIE,,inning_result,,F7,Tie,,,Tie,PAPER_SPREAD_LEDGER,,,exact_ticker,14.0,,,14.0,13.0,,,,,,,,,18.844,14.0,4.844,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F7,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 154}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-01:KXMLBF7-26AUG012138MILLAA-LAA,2026-08-01,824000,MIL @ LAA,KXMLBF7-26AUG012138MILLAA-LAA,,inning_result,,F7,Home,,,Home,PAPER_SPREAD_LEDGER,,,exact_ticker,41.0,,,41.0,40.0,,,,,,,,,46.182,41.0,5.182,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F7,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 145}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-01:KXMLBF7-26AUG012138MILLAA-MIL,2026-08-01,824000,MIL @ LAA,KXMLBF7-26AUG012138MILLAA-MIL,,inning_result,,F7,Away,,,Away,PAPER_SPREAD_LEDGER,,,exact_ticker,47.0,,,47.0,46.5,,,,,,,,,53.818,47.0,6.818,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F7,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 120}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-01:KXMLBF7-26AUG012138MILLAA-TIE,2026-08-01,824000,MIL @ LAA,KXMLBF7-26AUG012138MILLAA-TIE,,inning_result,,F7,Tie,,,Tie,PAPER_SPREAD_LEDGER,,,exact_ticker,11.0,,,11.0,10.0,,,,,,,,,18.551,11.0,7.551,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F7,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 107}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-01:KXMLBF7-26AUG012140DETATH-ATH,2026-08-01,824972,DET @ ATH,KXMLBF7-26AUG012140DETATH-ATH,,inning_result,,F7,Home,,,Home,PAPER_SPREAD_LEDGER,,,exact_ticker,36.0,,,36.0,35.5,,,,,,,,,49.313,36.0,13.313,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F7,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 53}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-01:KXMLBF7-26AUG012140DETATH-TIE,2026-08-01,824972,DET @ ATH,KXMLBF7-26AUG012140DETATH-TIE,,inning_result,,F7,Tie,,,Tie,PAPER_SPREAD_LEDGER,,,exact_ticker,10.0,,,10.0,9.5,,,,,,,,,19.028,10.0,9.028,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F7,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 88}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
PAPER:2026-08-01:KXMLBSPREAD-26AUG011840PITCIN-PIT2,2026-08-01,824485,PIT @ CIN,KXMLBSPREAD-26AUG011840PITCIN-PIT2,,winning_margin,,full_game,PIT,1.5,,PIT,PAPER_SPREAD_LEDGER,,,exact_ticker,41.0,,,41.0,40.5,,,,,,,,,49.208,41.0,8.208,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,full_game,,"[""RULE_81""]","{""alternateLine"": false, ""rank"": 99}",CLEAN,[],PAPER,False,5.0,,,"[""RULE_81""]"
PAPER:2026-08-01:KXMLBSPREAD-26AUG011840PITCIN-PIT3,2026-08-01,824485,PIT @ CIN,KXMLBSPREAD-26AUG011840PITCIN-PIT3,,winning_margin,,full_game,PIT,2.5,,PIT,PAPER_SPREAD_LEDGER,,,exact_ticker,31.0,,,31.0,30.5,,,,,,,,,35.418,31.0,4.418,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,full_game,,"[""RULE_81""]","{""alternateLine"": true, ""rank"": 163}",CLEAN,[],PAPER,False,5.0,,,"[""RULE_81""]"
PAPER:2026-08-01:KXMLBSPREAD-26AUG011840PITCIN-PIT4,2026-08-01,824485,PIT @ CIN,KXMLBSPREAD-26AUG011840PITCIN-PIT4,,winning_margin,,full_game,PIT,3.5,,PIT,PAPER_SPREAD_LEDGER,,,exact_ticker,22.0,,,22.0,21.5,,,,,,,,,23.459,22.0,1.459,,PAPER,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,full_game,,"[""RULE_81""]","{""alternateLine"": true, ""rank"": 220}",CLEAN,[],PAPER,False,5.0,,,"[""RULE_81""]"
PAPER:2026-08-01:KXMLBSPREAD-26AUG011910TEXHOU-TEX2,2026-08-01,824162,TEX @ HOU,KXMLBSPREAD-26AUG011910TEXHOU-TEX2,,winning_margin,,full_game,TEX,1.5,,TEX,PAPER_SPREAD_LEDGER,,,exact_ticker,41.0,,,41.0,40.5,,,,,,,,,44.504,41.0,3.504,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,full_game,,"[""RULE_81""]","{""alternateLine"": false, ""rank"": 178}",CLEAN,[],PAPER,False,5.0,,,"[""RULE_81""]"
PAPER:2026-08-01:KXMLBSPREAD-26AUG011915NYYCHC-NYY2,2026-08-01,824649,NYY @ CHC,KXMLBSPREAD-26AUG011915NYYCHC-NYY2,,winning_margin,,full_game,NYY,1.5,,NYY,PAPER_SPREAD_LEDGER,,,exact_ticker,34.0,,,34.0,33.5,,,,,,,,,39.254,34.0,5.254,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,full_game,,"[""RULE_81""]","{""alternateLine"": false, ""rank"": 141}",CLEAN,[],PAPER,False,5.0,,,"[""RULE_81""]"
PAPER:2026-08-01:KXMLBSPREAD-26AUG011915NYYCHC-NYY3,2026-08-01,824649,NYY @ CHC,KXMLBSPREAD-26AUG011915NYYCHC-NYY3,,winning_margin,,full_game,NYY,2.5,,NYY,PAPER_SPREAD_LEDGER,,,exact_ticker,24.0,,,24.0,23.5,,,,,,,,,25.978,24.0,1.978,,MEDIUM,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,full_game,,"[""RULE_81""]","{""alternateLine"": true, ""rank"": 209}",CLEAN,[],PAPER,False,5.0,,,"[""RULE_81""]"
PAPER:2026-08-02:KXMLBF3-26AUG021335PHIBAL-BAL,2026-08-02,824807,PHI @ BAL,KXMLBF3-26AUG021335PHIBAL-BAL,,inning_result,,F3,Home,,,Home,PAPER_SPREAD_LEDGER,,,exact_ticker,31.0,,,31.0,30.5,,,,,,,,,39.565,31.0,8.565,,HIGH,PAPER_ONLY_REAL_MONEY_BLOCKED,SUPPORTED,,PENDING,,,,,,,,,,,,F3,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]","{""alternateLine"": null, ""rank"": 85}",CLEAN,[],PAPER,False,5.0,,,"[""NOT_YET_ACTIVATED_NO_HISTORICAL_PAPER_SAMPLE""]"
