marketFamily,gameFamilyCells,meanAbsMidRevisionCents,medianAbsMidRevisionCents,p90AbsMidRevisionCents
first_inning_run,154,1.1104,1.0,3.0
game_result,26,1.1154,1.0,2.0
game_total,152,1.3942,0.9545,3.2273
inning_result,37,1.1351,1.0,2.5
team_total,152,1.3402,1.1429,2.8214
winning_margin,159,0.7935,0.5833,1.5
