earlyPoint,latePoint,side,contracts,independentGames,meanEarlyMinusLateCents,medianEarlyMinusLateCents,ci95LowCents,ci95HighCents,earlyCheaperCount,lateCheaperCount,tiedCount,earlyCheaperPct,signTestP,signConvention,population
EARLY_12H_PLUS,T_MINUS_90,NO,933,138,-0.0825,0.0,-0.443,0.2756,341,354,238,36.55,0.6490066807602785,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,933,138,1.3023,1.0,0.9674,1.6167,133,585,215,14.26,1.9725890624657537e-68,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,933,138,0.0236,0.0,-0.2849,0.3383,313,352,268,33.55,0.14053732232440394,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,T_MINUS_30,YES,933,138,1.4791,1.0,1.0874,1.8488,149,618,166,15.97,1.2406089185462411e-68,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,T_MINUS_30,NO,933,138,-0.0879,0.0,-0.4576,0.2791,354,363,216,37.94,0.7651431802734106,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,CLOSING,YES,933,138,1.4759,1.0,1.0834,1.8479,150,618,165,16.08,3.182698231057718e-68,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,CLOSING,NO,933,138,-0.0879,0.0,-0.4591,0.2825,353,363,217,37.83,0.736636359632658,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_18H_PLUS,CLOSING,YES,279,52,1.5735,2.0,0.8947,2.1859,50,194,35,17.92,3.3011108913905636e-21,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_18H_PLUS,CLOSING,NO,279,52,0.2724,0.0,-0.2898,0.8387,106,119,54,37.99,0.4237736910837464,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_8H_PLUS,CLOSING,YES,933,138,1.4759,1.0,1.0834,1.8479,150,618,165,16.08,3.182698231057718e-68,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_8H_PLUS,CLOSING,NO,933,138,-0.0879,0.0,-0.4591,0.2825,353,363,217,37.83,0.736636359632658,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
FIRST_GAME_DAY,CLOSING,YES,933,138,0.2776,0.0,0.1141,0.4576,136,287,510,14.58,1.682463087199332e-13,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
FIRST_GAME_DAY,CLOSING,NO,933,138,-0.1318,0.0,-0.2846,0.0169,232,170,531,24.87,0.0023063566860324577,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
LINEUP_CONFIRMATION,CLOSING,YES,933,138,0.1736,0.0,0.0341,0.3265,130,225,578,13.93,5.228954846486746e-07,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
LINEUP_CONFIRMATION,CLOSING,NO,933,138,-0.1115,0.0,-0.2457,0.0168,201,146,586,21.54,0.0036834522516761077,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
