leadTimeHorizon,usableObservations,medianSpreadCents,meanSpreadCents,medianVolume,medianOpenInterest,repeatedBookFlaggedPct
POST_START,46503,4.0,4.7988,686.87,651.51,0.16
T_MINUS_0_4,188228,1.0,1.6779,0.11,0.1,1.29
T_MINUS_4_8,42077,1.0,1.4113,74.13,73,0.49
T_MINUS_8_12,14293,1.0,1.8648,8.14,8,0.0
T_MINUS_12_18,34810,2.0,2.411,0.0,0.0,0.0
T_MINUS_18_24,20674,2.0,2.6034,0.0,0.0,0.0
