earlyPoint,latePoint,side,contracts,independentGames,meanEarlyMinusLateCents,medianEarlyMinusLateCents,ci95LowCents,ci95HighCents,earlyCheaperCount,lateCheaperCount,tiedCount,earlyCheaperPct,signTestP,signConvention,marketFamily,population,bhSignificantAtFdr05
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,166,166,-0.0181,0.0,-0.2771,0.247,53,52,61,31.93,1.0,positive = early price HIGHER = waiting was cheaper,first_inning_run,settled_game_markets,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,332,166,0.0,0.0,-0.0422,0.0392,107,108,117,32.23,1.0,positive = early price HIGHER = waiting was cheaper,game_result,settled_game_markets,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1740,159,0.7397,0.0,0.466,1.023,357,810,573,20.52,5.786605298311754e-40,positive = early price HIGHER = waiting was cheaper,game_total,settled_game_markets,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1274,155,1.1319,1.0,0.9796,1.2893,166,717,391,13.03,3.0158769142882016e-82,positive = early price HIGHER = waiting was cheaper,inning_result,settled_game_markets,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1057,154,1.0927,1.0,0.8336,1.3718,154,560,343,14.57,5.510184174872047e-55,positive = early price HIGHER = waiting was cheaper,inning_total,settled_game_markets,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,2173,159,1.682,1.0,1.448,1.9175,184,1493,496,8.47,7.328837712907697e-224,positive = early price HIGHER = waiting was cheaper,team_total,settled_game_markets,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1570,159,0.6223,0.0,0.5207,0.7273,248,728,594,15.8,4.643850490457952e-53,positive = early price HIGHER = waiting was cheaper,winning_margin,settled_game_markets,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1124,106,0.7544,0.0,0.5849,0.9372,77,515,532,6.85,1.6697231798844374e-80,positive = early price HIGHER = waiting was cheaper,hitter_hits,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1796,108,0.9399,1.0,0.7202,1.1833,168,920,708,9.35,9.512255459656378e-115,positive = early price HIGHER = waiting was cheaper,hitter_hits_runs_rbis,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,818,108,0.7323,1.0,0.5158,0.9379,103,412,303,12.59,9.07843751547382e-45,positive = early price HIGHER = waiting was cheaper,hitter_rbis,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,20,8,0.55,0.0,0.0588,1.087,2,7,11,10.0,0.1796875,positive = early price HIGHER = waiting was cheaper,hitter_stolen_bases,settled_player_props,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1602,108,0.7266,0.0,0.5457,0.9245,161,740,701,10.05,1.2579200934509154e-82,positive = early price HIGHER = waiting was cheaper,hitter_total_bases,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,212,117,1.9717,1.0,1.4419,2.5213,40,127,45,18.87,9.451719537104614e-12,positive = early price HIGHER = waiting was cheaper,pitcher_outs,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1596,120,0.9893,1.0,0.6817,1.3102,347,828,421,21.74,1.4934498396587015e-44,positive = early price HIGHER = waiting was cheaper,pitcher_strikeouts,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,166,166,0.0843,0.0,-0.1747,0.3434,49,55,62,29.52,0.624143515844679,positive = early price HIGHER = waiting was cheaper,first_inning_run,settled_game_markets,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,332,166,0.0542,0.0,0.009,0.0994,100,112,120,30.12,0.4500368401975949,positive = early price HIGHER = waiting was cheaper,game_result,settled_game_markets,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,1740,159,-0.2259,0.0,-0.5034,0.0489,578,557,605,33.22,0.5527447750541936,positive = early price HIGHER = waiting was cheaper,game_total,settled_game_markets,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,1274,155,0.9757,1.0,0.8355,1.1206,191,669,414,14.99,7.185607712971052e-63,positive = early price HIGHER = waiting was cheaper,inning_result,settled_game_markets,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,1057,154,0.2961,0.0,0.0265,0.5728,321,398,338,30.37,0.0045590796269633525,positive = early price HIGHER = waiting was cheaper,inning_total,settled_game_markets,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,2173,159,0.2324,0.0,0.0174,0.4492,629,855,689,28.95,5.197913589166457e-09,positive = early price HIGHER = waiting was cheaper,team_total,settled_game_markets,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,1570,159,0.1395,0.0,0.0638,0.2154,412,468,690,26.24,0.06367080740535683,positive = early price HIGHER = waiting was cheaper,winning_margin,settled_game_markets,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,1124,106,0.0347,0.0,-0.0772,0.1546,248,247,629,22.06,1.0,positive = early price HIGHER = waiting was cheaper,hitter_hits,settled_player_props,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,1796,108,0.1258,0.0,-0.0308,0.2828,411,490,895,22.88,0.00936165670606453,positive = early price HIGHER = waiting was cheaper,hitter_hits_runs_rbis,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,818,108,0.2995,0.0,0.1329,0.4834,179,274,365,21.88,9.345868093332355e-06,positive = early price HIGHER = waiting was cheaper,hitter_rbis,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,20,8,0.85,0.0,0.2105,1.4,1,8,11,5.0,0.0390625,positive = early price HIGHER = waiting was cheaper,hitter_stolen_bases,settled_player_props,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,1602,108,0.0649,0.0,-0.0418,0.1807,363,397,842,22.66,0.23127052056622055,positive = early price HIGHER = waiting was cheaper,hitter_total_bases,settled_player_props,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,212,117,1.1085,1.0,0.5349,1.7005,55,117,40,25.94,2.6020763646302716e-06,positive = early price HIGHER = waiting was cheaper,pitcher_outs,settled_player_props,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,1596,120,0.2807,0.0,-0.0494,0.6229,526,571,499,32.96,0.18402530029791056,positive = early price HIGHER = waiting was cheaper,pitcher_strikeouts,settled_player_props,False
EARLY_12H_PLUS,CLOSING,YES,366,366,0.2541,0.0,0.0546,0.4481,113,152,101,30.87,0.01940751301964396,positive = early price HIGHER = waiting was cheaper,first_inning_run,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,YES,732,366,0.0055,0.0,-0.0246,0.0369,253,253,226,34.56,1.0,positive = early price HIGHER = waiting was cheaper,game_result,settled_game_markets,False
EARLY_12H_PLUS,CLOSING,YES,3795,346,0.8993,1.0,0.7088,1.0988,760,2002,1033,20.03,2.8022383649317184e-123,positive = early price HIGHER = waiting was cheaper,game_total,settled_game_markets,True
EARLY_12H_PLUS,CLOSING,YES,2910,340,0.921,1.0,0.8407,1.0119,492,1608,810,16.91,9.147293066052027e-131,positive = early price HIGHER = waiting was cheaper,inning_result,settled_game_markets,True
