date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-08-06,CWS@BOS,CWS,BOS,7:10 PM ET,KXMLBF5-26AUG061910CWSBOS,KXMLBF5-26AUG061910CWSBOS-CWS,F5 AWAY wins — CWS@BOS,away,31.0,32.0,68.0,69.0,31.5,32.0,31.5,32.0,,,,,32.0,2026-08-06T22:27:19Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-06,CWS@BOS,CWS,BOS,7:10 PM ET,KXMLBF5-26AUG061910CWSBOS,KXMLBF5-26AUG061910CWSBOS-BOS,F5 HOME wins — CWS@BOS,home,54.0,55.0,45.0,46.0,54.5,55.0,54.5,55.0,,,,,55.0,2026-08-06T22:27:19Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-06,CWS@BOS,CWS,BOS,7:10 PM ET,KXMLBF5-26AUG061910CWSBOS,KXMLBF5-26AUG061910CWSBOS-TIE,F5 TIE wins — CWS@BOS,tie,14.0,15.0,85.0,86.0,14.5,15.0,14.5,15.0,,,,,15.0,2026-08-06T22:27:19Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-06,DET@SEA,DET,SEA,4:10 PM ET,,,,unknown,,,,,,,,,,,,,,2026-08-06T22:27:19Z,none,F5_MARKET_ABSENT,F5_TIE_MARKET_UNMAPPED
2026-08-06,MIA@ATL,MIA,ATL,7:15 PM ET,KXMLBF5-26AUG061915MIAATL,KXMLBF5-26AUG061915MIAATL-MIA,F5 AWAY wins — MIA@ATL,away,35.0,37.0,63.0,65.0,36.0,36.0,36.0,37.0,,,,,37.0,2026-08-06T22:27:19Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-06,MIA@ATL,MIA,ATL,7:15 PM ET,KXMLBF5-26AUG061915MIAATL,KXMLBF5-26AUG061915MIAATL-ATL,F5 HOME wins — MIA@ATL,home,50.0,51.0,49.0,50.0,50.5,51.0,50.5,51.0,,,,,51.0,2026-08-06T22:27:19Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-06,MIA@ATL,MIA,ATL,7:15 PM ET,KXMLBF5-26AUG061915MIAATL,KXMLBF5-26AUG061915MIAATL-TIE,F5 TIE wins — MIA@ATL,tie,14.0,15.0,85.0,86.0,14.5,15.0,14.5,15.0,,,,,15.0,2026-08-06T22:27:19Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-06,MIN@KC,MIN,KC,7:40 PM ET,KXMLBF5-26AUG061940MINKC,KXMLBF5-26AUG061940MINKC-MIN,F5 AWAY wins — MIN@KC,away,38.0,40.0,60.0,62.0,39.0,40.0,39.0,40.0,,,,,40.0,2026-08-06T22:27:19Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-06,MIN@KC,MIN,KC,7:40 PM ET,KXMLBF5-26AUG061940MINKC,KXMLBF5-26AUG061940MINKC-KC,F5 HOME wins — MIN@KC,home,47.0,48.0,52.0,53.0,47.5,48.0,47.5,48.0,,,,,48.0,2026-08-06T22:27:19Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-06,MIN@KC,MIN,KC,7:40 PM ET,KXMLBF5-26AUG061940MINKC,KXMLBF5-26AUG061940MINKC-TIE,F5 TIE wins — MIN@KC,tie,14.0,15.0,85.0,86.0,14.5,15.0,14.5,15.0,,,,,15.0,2026-08-06T22:27:19Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
