
======================================================================
EXECUTION SLIP — 2026-07-08
======================================================================

=== REAL-MONEY BETS (1) ===
  COL@LAD | TT_Away_Over | TT_Away_Over
    Ticker:    KXMLBTEAMTOTAL-26JUL082210COLLAD-COL4
    Model%:    65.33% | Exec Price: 55.0¢ | Raw Edge: +10.33% | Cal Edge: +2.63%
    Tier:      MEDIUM | Stake: $4.0
    MaxBet:    55.0¢ or better
    Codes:     MARKET_REAL_MONEY_ELIGIBLE, EXECUTABLE_EDGE_ABOVE_THRESHOLD, RAW_EDGE_STRONG, LINEUP_CONFIRMED_OFFICIAL, LINEUP_ADJ_APPLIED
    Snapshot:  unknown


=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (62) ===
  MIL@STL | YRFI | Cal Edge: +2.58% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  MIL@STL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  MIL@STL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@STL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  LAA@TEX | YRFI | Cal Edge: +2.02% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  LAA@TEX | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  LAA@TEX | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  LAA@TEX | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  COL@LAD | YRFI | Cal Edge: +2.54% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  COL@LAD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  COL@LAD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  COL@LAD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@SD | YRFI | Cal Edge: +2.69% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — home unconfirmed 
  AZ@SD | F5_ML_Away | Cal Edge: -0.64% | Rule 53: F5 requires confirmed lineups for both teams — home unconfirmed (lineup
  AZ@SD | F5_ML_Home | Cal Edge: +0.64% | Rule 53: F5 requires confirmed lineups for both teams — home unconfirmed (lineup
  AZ@SD | TT_Home_Over | Cal Edge: -3.39% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  AZ@SD | ML_Away | Cal Edge: -0.80% | Rule 51: lineupConfirmedOfficial=False (home) — ML downgraded to PAPER
  AZ@SD | ML_Home | Cal Edge: +0.80% | Rule 51: lineupConfirmedOfficial=False (home) — ML downgraded to PAPER
  AZ@SD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  AZ@SD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@SD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0

=== REJECTED / BLOCKED (102) ===
  TOR@SF | NRFI | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | YRFI | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | F5_ML_Away | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | F5_ML_Home | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | TT_Away_Over | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | TT_Home_Over | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | ML_Away | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | ML_Home | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | Game_Total | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | RL_Away | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  TOR@SF | RL_Home | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
  CHC@BAL | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=11 >= 8.0
  CHC@BAL | F5_ML_Away | Raw Edge: — | Rule71-F5: model 63.7% vs KalshiF5VF 47.1% = 16.6% > 12%
  CHC@BAL | F5_ML_Home | Raw Edge: — | Rule71-F5: model 36.3% vs KalshiF5VF 52.9% = 16.6% > 12%
  CHC@BAL | TT_Away_Over | Raw Edge: -4.26% | edge -1.086% below 1.0% floor
  CHC@BAL | TT_Home_Over | Raw Edge: -21.24% | edge -5.417% below 1.0% floor
  CHC@BAL | ML_Away | Raw Edge: +15.30% | Rule71: model 60.8% vs PinVF 45.7% = 15.1% gap > 8%
  CHC@BAL | ML_Home | Raw Edge: -15.30% | Rule71: model 39.2% vs PinVF 54.3% = 15.1% gap > 8%
  ATH@DET | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=10 >= 8.0
  ATH@DET | F5_ML_Away | Raw Edge: — | edge -1.447% below threshold
  ATH@DET | TT_Away_Over | Raw Edge: -19.83% | edge -5.056% below 1.0% floor
  ATH@DET | TT_Home_Over | Raw Edge: -7.96% | edge -2.029% below 1.0% floor
  ATH@DET | ML_Away | Raw Edge: -8.41% | Rule71: model 35.1% vs PinVF 44.5% = 9.4% gap > 8%
  ATH@DET | ML_Home | Raw Edge: +8.41% | Rule71: model 64.9% vs PinVF 55.5% = 9.4% gap > 8%
  ATL@PIT | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=10 >= 8.0
  ATL@PIT | F5_ML_Away | Raw Edge: — | Rule71-F5: model 27.0% vs KalshiF5VF 47.1% = 20.1% > 12%
  ATL@PIT | F5_ML_Home | Raw Edge: — | Rule71-F5: model 73.0% vs KalshiF5VF 52.9% = 20.1% > 12%
  ATL@PIT | TT_Away_Over | Raw Edge: -18.68% | edge -4.763% below 1.0% floor
  ATL@PIT | TT_Home_Over | Raw Edge: -1.89% | edge -0.482% below 1.0% floor
  ATL@PIT | ML_Away | Raw Edge: -8.77% | Rule71: model 38.6% vs PinVF 47.1% = 8.5% gap > 8%
  ATL@PIT | ML_Home | Raw Edge: +8.77% | Rule71: model 61.4% vs PinVF 52.9% = 8.5% gap > 8%
  SEA@MIA | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  SEA@MIA | F5_ML_Away | Raw Edge: — | edge 0.115% below threshold
  SEA@MIA | F5_ML_Home | Raw Edge: — | edge -0.115% below threshold
  SEA@MIA | TT_Away_Over | Raw Edge: -24.27% | edge -6.189% below 1.0% floor
  SEA@MIA | TT_Home_Over | Raw Edge: -21.80% | edge -5.56% below 1.0% floor
  SEA@MIA | ML_Away | Raw Edge: +0.88% | edge 0.225% below 1.0% floor
  SEA@MIA | ML_Home | Raw Edge: -0.88% | edge -0.225% below 1.0% floor
  NYY@TB | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  NYY@TB | F5_ML_Away | Raw Edge: — | Rule71-F5: model 26.9% vs KalshiF5VF 46.4% = 19.5% > 12%
  NYY@TB | F5_ML_Home | Raw Edge: — | Rule71-F5: model 73.1% vs KalshiF5VF 53.6% = 19.5% > 12%
  NYY@TB | TT_Away_Over | Raw Edge: -25.43% | edge -6.486% below 1.0% floor
  NYY@TB | TT_Home_Over | Raw Edge: -10.83% | edge -2.762% below 1.0% floor
  NYY@TB | ML_Away | Raw Edge: -8.73% | Rule71: model 38.7% vs PinVF 48.1% = 9.5% gap > 8%
  NYY@TB | ML_Home | Raw Edge: +8.73% | Rule71: model 61.3% vs PinVF 51.9% = 9.5% gap > 8%
  HOU@WSH | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=11 >= 8.0
  HOU@WSH | F5_ML_Away | Raw Edge: — | edge 0.53% below threshold
  HOU@WSH | F5_ML_Home | Raw Edge: — | edge -0.53% below threshold
  HOU@WSH | TT_Away_Over | Raw Edge: -19.01% | edge -4.847% below 1.0% floor
  HOU@WSH | TT_Home_Over | Raw Edge: -17.91% | edge -4.568% below 1.0% floor
  HOU@WSH | ML_Away | Raw Edge: -0.51% | edge -0.13% below 1.0% floor
  HOU@WSH | ML_Home | Raw Edge: +0.51% | edge 0.13% below 1.0% floor
  KC@NYM | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=10 >= 8.0
  KC@NYM | F5_ML_Away | Raw Edge: — | Rule 24: away pitcher is opener (avgIP=1.1) — F5 UNQUALIFIED
  KC@NYM | F5_ML_Home | Raw Edge: — | Rule71-F5: model 25.1% vs KalshiF5VF 58.3% = 33.2% > 12%
  KC@NYM | TT_Away_Over | Raw Edge: -11.00% | edge -2.806% below 1.0% floor
  KC@NYM | TT_Home_Over | Raw Edge: -21.23% | edge -5.415% below 1.0% floor
  KC@NYM | ML_Away | Raw Edge: +3.32% | edge 0.847% below 1.0% floor
  KC@NYM | ML_Home | Raw Edge: -3.32% | edge -0.847% below 1.0% floor
  PHI@CIN | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  PHI@CIN | YRFI | Raw Edge: — | edge 0.564% below 1.0% floor
  PHI@CIN | F5_ML_Away | Raw Edge: — | Rule71-F5: model 68.8% vs KalshiF5VF 42.9% = 25.9% > 12%
  PHI@CIN | F5_ML_Home | Raw Edge: — | Rule71-F5: model 31.2% vs KalshiF5VF 57.1% = 25.9% > 12%
  PHI@CIN | TT_Away_Over | Raw Edge: -18.03% | edge -4.598% below 1.0% floor
  PHI@CIN | TT_Home_Over | Raw Edge: -38.45% | edge -9.804% below 1.0% floor
  PHI@CIN | ML_Away | Raw Edge: +20.29% | Rule71: model 63.8% vs PinVF 43.4% = 20.4% gap > 8%
  PHI@CIN | ML_Home | Raw Edge: -21.22% | Rule71: model 36.2% vs PinVF 56.6% = 20.4% gap > 8%
  CLE@MIN | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  CLE@MIN | F5_ML_Away | Raw Edge: — | Rule71-F5: model 30.3% vs KalshiF5VF 44.3% = 14.0% > 12%
  CLE@MIN | F5_ML_Home | Raw Edge: — | Rule71-F5: model 69.7% vs KalshiF5VF 55.7% = 14.0% > 12%
  CLE@MIN | TT_Away_Over | Raw Edge: -25.05% | edge -6.388% below 1.0% floor
  CLE@MIN | TT_Home_Over | Raw Edge: -14.31% | edge -3.65% below 1.0% floor
  CLE@MIN | ML_Away | Raw Edge: -9.16% | Rule71: model 37.3% vs PinVF 46.1% = 8.7% gap > 8%
  CLE@MIN | ML_Home | Raw Edge: +9.16% | Rule71: model 62.7% vs PinVF 53.9% = 8.7% gap > 8%
  BOS@CWS | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  BOS@CWS | F5_ML_Away | Raw Edge: — | edge 0.34% below threshold
  BOS@CWS | F5_ML_Home | Raw Edge: — | edge -0.34% below threshold
  BOS@CWS | TT_Away_Over | Raw Edge: -23.41% | edge -5.971% below 1.0% floor
  BOS@CWS | TT_Home_Over | Raw Edge: -28.29% | edge -7.213% below 1.0% floor
  BOS@CWS | ML_Home | Raw Edge: -3.48% | edge -1.015% below 1.0% floor
  MIL@STL | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  MIL@STL | F5_ML_Away | Raw Edge: — | Rule71-F5: model 69.3% vs KalshiF5VF 56.5% = 12.8% > 12%
  MIL@STL | F5_ML_Home | Raw Edge: — | Rule71-F5: model 30.7% vs KalshiF5VF 43.5% = 12.8% > 12%
  MIL@STL | TT_Away_Over | Raw Edge: -18.56% | edge -4.733% below 1.0% floor
  MIL@STL | TT_Home_Over | Raw Edge: -24.21% | edge -6.174% below 1.0% floor
  MIL@STL | ML_Away | Raw Edge: +9.41% | Rule71: model 66.9% vs PinVF 57.6% = 9.3% gap > 8%
  MIL@STL | ML_Home | Raw Edge: -9.41% | Rule71: model 33.1% vs PinVF 42.5% = 9.3% gap > 8%
  LAA@TEX | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  LAA@TEX | F5_ML_Away | Raw Edge: — | edge -0.401% below threshold
  LAA@TEX | F5_ML_Home | Raw Edge: — | edge 0.401% below threshold
  LAA@TEX | TT_Away_Over | Raw Edge: -27.56% | edge -7.027% below 1.0% floor
  LAA@TEX | TT_Home_Over | Raw Edge: -20.15% | edge -5.137% below 1.0% floor
  LAA@TEX | ML_Away | Raw Edge: -2.43% | edge -0.62% below 1.0% floor
  LAA@TEX | ML_Home | Raw Edge: +2.43% | edge 0.62% below 1.0% floor
  COL@LAD | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=10 >= 8.0
  COL@LAD | F5_ML_Away | Raw Edge: — | Rule71-F5: model 75.6% vs KalshiF5VF 35.4% = 40.2% > 12%
  COL@LAD | F5_ML_Home | Raw Edge: — | Rule71-F5: model 24.4% vs KalshiF5VF 64.6% = 40.2% > 12%
  COL@LAD | TT_Home_Over | Raw Edge: -38.08% | edge -9.709% below 1.0% floor
  COL@LAD | ML_Away | Raw Edge: +35.91% | Rule71: model 66.4% vs PinVF 30.6% = 35.8% gap > 8%
  COL@LAD | ML_Home | Raw Edge: -35.91% | Rule71: model 33.6% vs PinVF 69.4% = 35.8% gap > 8%
  AZ@SD | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  AZ@SD | TT_Away_Over | Raw Edge: -16.95% | edge -4.323% below 1.0% floor

======================================================================
SLIP SUMMARY: Real=1 PriceMoved=0 Paper=62 Rejected=102
LIVE_GAME_BLOCKED: TOR@SF — pregame-only gate applied, 0 real-money bets from these games
======================================================================
======================================================================
