date,game,team,lineupStatus,lineupConfirmedOfficial,lineupSource,lineupBattersExpected,lineupBattersFound,lineupBattersResolved,lineupAdjAvailable,lineupAdjApplied,lineupDataQuality,lineupStatusReason,reasonCodes
2026-07-09,ATL@PIT,Atlanta Braves,confirmed,True,mlb_stats_api,9,9,9,True,True,full,"Official lineup confirmed, 9/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,ATL@PIT,Pittsburgh Pirates,confirmed,True,mlb_stats_api,9,9,8,True,True,full,"Official lineup confirmed, 8/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,KC@NYM,Kansas City Royals,confirmed,True,mlb_stats_api,9,9,8,True,True,full,"Official lineup confirmed, 8/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,KC@NYM,New York Mets,confirmed,True,mlb_stats_api,9,9,9,True,True,full,"Official lineup confirmed, 9/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,NYY@TB,New York Yankees,confirmed,True,mlb_stats_api,9,9,9,True,True,full,"Official lineup confirmed, 9/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,NYY@TB,Tampa Bay Rays,confirmed,True,mlb_stats_api,9,9,9,True,True,full,"Official lineup confirmed, 9/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,CHC@BAL,Chicago Cubs,confirmed,True,mlb_stats_api,9,9,9,True,True,full,"Official lineup confirmed, 9/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,CHC@BAL,Baltimore Orioles,confirmed,True,mlb_stats_api,9,9,9,True,True,full,"Official lineup confirmed, 9/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,CLE@MIN,Cleveland Guardians,confirmed,True,mlb_stats_api,9,9,9,True,True,full,"Official lineup confirmed, 9/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,CLE@MIN,Minnesota Twins,confirmed,True,mlb_stats_api,9,9,8,True,True,full,"Official lineup confirmed, 8/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,BOS@CWS,Boston Red Sox,confirmed,True,mlb_stats_api,9,9,8,True,True,full,"Official lineup confirmed, 8/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,BOS@CWS,Chicago White Sox,confirmed,True,mlb_stats_api,9,9,9,True,True,full,"Official lineup confirmed, 9/9 batters resolved for xwOBA adjustment",LINEUP_CONFIRMED_OFFICIAL|LINEUP_ADJ_APPLIED
2026-07-09,ATH@DET,Athletics,missing,False,mlb_stats_api,9,0,0,False,False,none,Batting order not yet posted by MLB Stats API,LINEUP_MISSING|LINEUP_ADJ_UNAVAILABLE
