date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-08-21,ATH@HOU,ATH,HOU,8:10 PM ET,KXMLBF5-26AUG212010ATHHOU,KXMLBF5-26AUG212010ATHHOU-ATH,F5 AWAY wins — ATH@HOU,away,33.0,34.0,66.0,67.0,33.5,34.0,33.5,34.0,,,,,34.0,2026-08-21T20:28:56Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,ATH@HOU,ATH,HOU,8:10 PM ET,KXMLBF5-26AUG212010ATHHOU,KXMLBF5-26AUG212010ATHHOU-HOU,F5 HOME wins — ATH@HOU,home,50.0,51.0,49.0,50.0,50.5,50.0,50.5,51.0,,,,,51.0,2026-08-21T20:28:56Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,ATH@HOU,ATH,HOU,8:10 PM ET,KXMLBF5-26AUG212010ATHHOU,KXMLBF5-26AUG212010ATHHOU-TIE,F5 TIE wins — ATH@HOU,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-08-21T20:28:56Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,ATL@MIL,ATL,MIL,4:10 PM ET,KXMLBF5-26AUG211610ATLMIL,KXMLBF5-26AUG211610ATLMIL-ATL,F5 AWAY wins — ATL@MIL,away,32.0,34.0,66.0,68.0,33.0,34.0,33.0,34.0,,,,,34.0,2026-08-21T20:28:56Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,ATL@MIL,ATL,MIL,4:10 PM ET,KXMLBF5-26AUG211610ATLMIL,KXMLBF5-26AUG211610ATLMIL-MIL,F5 HOME wins — ATL@MIL,home,39.0,41.0,59.0,61.0,40.0,41.0,40.0,41.0,,,,,41.0,2026-08-21T20:28:56Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,ATL@MIL,ATL,MIL,4:10 PM ET,KXMLBF5-26AUG211610ATLMIL,KXMLBF5-26AUG211610ATLMIL-TIE,F5 TIE wins — ATL@MIL,tie,26.0,28.0,72.0,74.0,27.0,28.0,27.0,28.0,,,,,28.0,2026-08-21T20:28:56Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,CHC@SEA,CHC,SEA,10:10 PM ET,KXMLBF5-26AUG212210CHCSEA,KXMLBF5-26AUG212210CHCSEA-CHC,F5 AWAY wins — CHC@SEA,away,40.0,41.0,59.0,60.0,40.5,41.0,40.5,41.0,,,,,41.0,2026-08-21T20:28:56Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,CHC@SEA,CHC,SEA,10:10 PM ET,KXMLBF5-26AUG212210CHCSEA,KXMLBF5-26AUG212210CHCSEA-SEA,F5 HOME wins — CHC@SEA,home,42.0,43.0,57.0,58.0,42.5,43.0,42.5,43.0,49.47,6.97,6.47,1.65,43.0,2026-08-21T20:28:56Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,CHC@SEA,CHC,SEA,10:10 PM ET,KXMLBF5-26AUG212210CHCSEA,KXMLBF5-26AUG212210CHCSEA-TIE,F5 TIE wins — CHC@SEA,tie,15.0,16.0,84.0,85.0,15.5,17.0,15.5,16.0,,,,,16.0,2026-08-21T20:28:56Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-21,CIN@AZ,CIN,AZ,9:40 PM ET,KXMLBF5-26AUG212140CINAZ,KXMLBF5-26AUG212140CINAZ-CIN,F5 AWAY wins — CIN@AZ,away,36.0,37.0,63.0,64.0,36.5,37.0,36.5,37.0,,,,,37.0,2026-08-21T20:28:56Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
