date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-08-22,ATH@HOU,ATH,HOU,7:10 PM ET,KXMLBF5-26AUG221910ATHHOU,KXMLBF5-26AUG221910ATHHOU-ATH,F5 AWAY wins — ATH@HOU,away,27.0,28.0,72.0,73.0,27.5,28.0,27.5,28.0,,,,,28.0,2026-08-22T16:20:59Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,ATH@HOU,ATH,HOU,7:10 PM ET,KXMLBF5-26AUG221910ATHHOU,KXMLBF5-26AUG221910ATHHOU-HOU,F5 HOME wins — ATH@HOU,home,56.0,57.0,43.0,44.0,56.5,57.0,56.5,57.0,,,,,57.0,2026-08-22T16:20:59Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,ATH@HOU,ATH,HOU,7:10 PM ET,KXMLBF5-26AUG221910ATHHOU,KXMLBF5-26AUG221910ATHHOU-TIE,F5 TIE wins — ATH@HOU,tie,16.0,17.0,83.0,84.0,16.5,17.0,16.5,17.0,,,,,17.0,2026-08-22T16:20:59Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,ATL@MIL,ATL,MIL,2:10 PM ET,KXMLBF5-26AUG221410ATLMIL,KXMLBF5-26AUG221410ATLMIL-ATL,F5 AWAY wins — ATL@MIL,away,30.0,31.0,69.0,70.0,30.5,31.0,30.5,31.0,,,,,31.0,2026-08-22T16:20:59Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,ATL@MIL,ATL,MIL,2:10 PM ET,KXMLBF5-26AUG221410ATLMIL,KXMLBF5-26AUG221410ATLMIL-MIL,F5 HOME wins — ATL@MIL,home,53.0,54.0,46.0,47.0,53.5,54.0,53.5,54.0,,,,,54.0,2026-08-22T16:20:59Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,ATL@MIL,ATL,MIL,2:10 PM ET,KXMLBF5-26AUG221410ATLMIL,KXMLBF5-26AUG221410ATLMIL-TIE,F5 TIE wins — ATL@MIL,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-08-22T16:20:59Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,CHC@SEA,CHC,SEA,7:15 PM ET,KXMLBF5-26AUG221915CHCSEA,KXMLBF5-26AUG221915CHCSEA-CHC,F5 AWAY wins — CHC@SEA,away,37.0,38.0,62.0,63.0,37.5,38.0,37.5,38.0,,,,,38.0,2026-08-22T16:20:59Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,CHC@SEA,CHC,SEA,7:15 PM ET,KXMLBF5-26AUG221915CHCSEA,KXMLBF5-26AUG221915CHCSEA-SEA,F5 HOME wins — CHC@SEA,home,44.0,46.0,54.0,56.0,45.0,46.0,45.0,46.0,,,,,46.0,2026-08-22T16:20:59Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,CHC@SEA,CHC,SEA,7:15 PM ET,KXMLBF5-26AUG221915CHCSEA,KXMLBF5-26AUG221915CHCSEA-TIE,F5 TIE wins — CHC@SEA,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-08-22T16:20:59Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-22,CIN@AZ,CIN,AZ,8:10 PM ET,KXMLBF5-26AUG222010CINAZ,KXMLBF5-26AUG222010CINAZ-CIN,F5 AWAY wins — CIN@AZ,away,31.0,33.0,67.0,69.0,32.0,33.0,32.0,33.0,,,,,33.0,2026-08-22T16:20:59Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
