
======================================================================
EXECUTION SLIP — 2026-07-07
======================================================================

=== REAL-MONEY BETS (1) ===
  NYY@TB | ML_Away | ML_Away
    Ticker:    KXMLBGAME-26JUL071840NYYTB-NYY
    Model%:    51.8% | Exec Price: 45.45¢ | Raw Edge: +6.35% | Cal Edge: +1.62%
    Tier:      MEDIUM | Stake: $3.0
    MaxBet:    45.45¢ or better
    Codes:     MARKET_REAL_MONEY_ELIGIBLE, EXECUTABLE_EDGE_ABOVE_THRESHOLD, RAW_EDGE_STRONG, LINEUP_CONFIRMED_OFFICIAL, LINEUP_ADJ_APPLIED
    Snapshot:  unknown


=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (76) ===
  CLE@MIN | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BOS@CWS | YRFI | Cal Edge: +2.91% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  BOS@CWS | F5_ML_Away | Cal Edge: +3.54% | paper-tier
  BOS@CWS | ML_Away | Cal Edge: +1.47% | paper-tier
  BOS@CWS | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  BOS@CWS | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BOS@CWS | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  LAA@TEX | YRFI | Cal Edge: +3.00% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  LAA@TEX | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  LAA@TEX | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  LAA@TEX | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@SD | YRFI | Cal Edge: +3.27% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  AZ@SD | ML_Away | Cal Edge: +1.17% | paper-tier
  AZ@SD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  AZ@SD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@SD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TOR@SF | YRFI | Cal Edge: +1.75% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away unconfirmed 
  TOR@SF | F5_ML_Away | Cal Edge: +4.90% | Rule 53: F5 requires confirmed lineups for both teams — away unconfirmed (lineup
  TOR@SF | F5_ML_Home | Cal Edge: -2.65% | Rule 53: F5 requires confirmed lineups for both teams — away unconfirmed (lineup
  TOR@SF | TT_Away_Over | Cal Edge: -8.47% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  TOR@SF | ML_Away | Cal Edge: -2.90% | Rule 51: lineupConfirmedOfficial=False (away) — ML downgraded to PAPER; Rule71: 
  TOR@SF | ML_Home | Cal Edge: +2.90% | Rule 51: lineupConfirmedOfficial=False (away) — ML downgraded to PAPER; Rule71: 
  TOR@SF | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  TOR@SF | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TOR@SF | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  COL@LAD | YRFI | Cal Edge: +2.18% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — home unconfirmed 
  COL@LAD | F5_ML_Away | Cal Edge: +4.38% | Rule 53: F5 requires confirmed lineups for both teams — home unconfirmed (lineup
  COL@LAD | F5_ML_Home | Cal Edge: -4.38% | Rule 53: F5 requires confirmed lineups for both teams — home unconfirmed (lineup
  COL@LAD | TT_Home_Over | Cal Edge: -6.47% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  COL@LAD | ML_Away | Cal Edge: +1.58% | Rule 51: lineupConfirmedOfficial=False (home) — ML downgraded to PAPER
  COL@LAD | ML_Home | Cal Edge: -1.84% | Rule 51: lineupConfirmedOfficial=False (home) — ML downgraded to PAPER
  COL@LAD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  COL@LAD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  COL@LAD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0

=== REJECTED / BLOCKED (95) ===
  MIL@STL | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: MIL@STL status='Final' — pregame-only mode cannot recommend real-money be
  MIL@STL | TT_Away_Over | Raw Edge: -16.94% | edge -4.32% below 1.0% floor
  MIL@STL | TT_Home_Over | Raw Edge: -5.33% | edge -1.359% below 1.0% floor
  MIL@STL | ML_Away | Raw Edge: -4.65% | edge -1.036% below 1.0% floor
  CHC@BAL | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=10 >= 8.0
  CHC@BAL | F5_ML_Away | Raw Edge: — | Rule71-F5: model 66.7% vs KalshiF5VF 52.9% = 13.8% > 12%
  CHC@BAL | F5_ML_Home | Raw Edge: — | Rule71-F5: model 33.3% vs KalshiF5VF 47.1% = 13.8% > 12%
  CHC@BAL | TT_Away_Over | Raw Edge: -19.73% | edge -5.031% below 1.0% floor
  CHC@BAL | TT_Home_Over | Raw Edge: -23.87% | edge -6.086% below 1.0% floor
  CHC@BAL | ML_Home | Raw Edge: -5.85% | edge -1.372% below 1.0% floor
  ATH@DET | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  ATH@DET | F5_ML_Away | Raw Edge: — | edge -0.157% below threshold
  ATH@DET | F5_ML_Home | Raw Edge: — | edge 0.157% below threshold
  ATH@DET | TT_Away_Over | Raw Edge: -20.80% | edge -5.303% below 1.0% floor
  ATH@DET | TT_Home_Over | Raw Edge: -20.40% | edge -5.203% below 1.0% floor
  ATH@DET | ML_Away | Raw Edge: -1.13% | edge -0.289% below 1.0% floor
  ATH@DET | ML_Home | Raw Edge: +1.13% | edge 0.289% below 1.0% floor
  ATL@PIT | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  ATL@PIT | F5_ML_Away | Raw Edge: — | Rule71-F5: model 21.6% vs KalshiF5VF 41.7% = 20.1% > 12%
  ATL@PIT | F5_ML_Home | Raw Edge: — | Rule71-F5: model 78.4% vs KalshiF5VF 58.3% = 20.1% > 12%
  ATL@PIT | TT_Away_Over | Raw Edge: -22.04% | edge -5.62% below 1.0% floor
  ATL@PIT | TT_Home_Over | Raw Edge: -6.03% | edge -1.537% below 1.0% floor
  ATL@PIT | ML_Away | Raw Edge: -15.34% | Rule71: model 27.2% vs PinVF 42.5% = 15.2% gap > 8%
  ATL@PIT | ML_Home | Raw Edge: +14.55% | Rule71: model 72.0% vs PinVF 57.6% = 14.4% gap > 8%
  SEA@MIA | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  SEA@MIA | F5_ML_Away | Raw Edge: — | edge 0.482% below threshold
  SEA@MIA | F5_ML_Home | Raw Edge: — | edge -0.482% below threshold
  SEA@MIA | TT_Away_Over | Raw Edge: -23.84% | edge -6.078% below 1.0% floor
  SEA@MIA | TT_Home_Over | Raw Edge: -26.05% | edge -6.642% below 1.0% floor
  SEA@MIA | ML_Away | Raw Edge: +1.19% | edge 0.303% below 1.0% floor
  SEA@MIA | ML_Home | Raw Edge: -1.19% | edge -0.303% below 1.0% floor
  NYY@TB | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  NYY@TB | F5_ML_Home | Raw Edge: — | edge -1.447% below threshold
  NYY@TB | TT_Away_Over | Raw Edge: -18.16% | edge -4.63% below 1.0% floor
  NYY@TB | TT_Home_Over | Raw Edge: -24.43% | edge -6.231% below 1.0% floor
  NYY@TB | ML_Home | Raw Edge: -6.35% | edge -1.618% below 1.0% floor
