date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-08-29,BAL@ATH,BAL,ATH,10:05 PM ET,KXMLBF5-26AUG292205BALATH,KXMLBF5-26AUG292205BALATH-BAL,F5 AWAY wins — BAL@ATH,away,47.0,49.0,51.0,53.0,48.0,49.0,48.0,49.0,,,,,49.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,BAL@ATH,BAL,ATH,10:05 PM ET,KXMLBF5-26AUG292205BALATH,KXMLBF5-26AUG292205BALATH-ATH,F5 HOME wins — BAL@ATH,home,37.0,38.0,62.0,63.0,37.5,0.0,37.5,38.0,,,,,38.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,BAL@ATH,BAL,ATH,10:05 PM ET,KXMLBF5-26AUG292205BALATH,KXMLBF5-26AUG292205BALATH-TIE,F5 TIE wins — BAL@ATH,tie,13.0,14.0,86.0,87.0,13.5,14.0,13.5,14.0,,,,,14.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,CIN@CHC,CIN,CHC,2:20 PM ET,KXMLBF5-26AUG291420CINCHC,KXMLBF5-26AUG291420CINCHC-CIN,F5 AWAY wins — CIN@CHC,away,32.0,33.0,67.0,68.0,32.5,33.0,32.5,33.0,,,,,33.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,CIN@CHC,CIN,CHC,2:20 PM ET,KXMLBF5-26AUG291420CINCHC,KXMLBF5-26AUG291420CINCHC-CHC,F5 HOME wins — CIN@CHC,home,53.0,54.0,46.0,47.0,53.5,54.0,53.5,54.0,,,,,54.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,CIN@CHC,CIN,CHC,2:20 PM ET,KXMLBF5-26AUG291420CINCHC,KXMLBF5-26AUG291420CINCHC-TIE,F5 TIE wins — CIN@CHC,tie,14.0,15.0,85.0,86.0,14.5,15.0,14.5,15.0,,,,,15.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,COL@ATL,COL,ATL,4:10 PM ET,KXMLBF5-26AUG291610COLATL,KXMLBF5-26AUG291610COLATL-COL,F5 AWAY wins — COL@ATL,away,29.0,30.0,70.0,71.0,29.5,31.0,29.5,30.0,,,,,30.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,COL@ATL,COL,ATL,4:10 PM ET,KXMLBF5-26AUG291610COLATL,KXMLBF5-26AUG291610COLATL-ATL,F5 HOME wins — COL@ATL,home,56.0,57.0,43.0,44.0,56.5,57.0,56.5,57.0,,,,,57.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,COL@ATL,COL,ATL,4:10 PM ET,KXMLBF5-26AUG291610COLATL,KXMLBF5-26AUG291610COLATL-TIE,F5 TIE wins — COL@ATL,tie,13.0,14.0,86.0,87.0,13.5,14.0,13.5,14.0,,,,,14.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,CWS@MIN,CWS,MIN,2:10 PM ET,KXMLBF5-26AUG291410CWSMIN,KXMLBF5-26AUG291410CWSMIN-CWS,F5 AWAY wins — CWS@MIN,away,42.0,43.0,57.0,58.0,42.5,43.0,42.5,43.0,,,,,43.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,CWS@MIN,CWS,MIN,2:10 PM ET,KXMLBF5-26AUG291410CWSMIN,KXMLBF5-26AUG291410CWSMIN-MIN,F5 HOME wins — CWS@MIN,home,42.0,43.0,57.0,58.0,42.5,43.0,42.5,43.0,,,,,43.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,CWS@MIN,CWS,MIN,2:10 PM ET,KXMLBF5-26AUG291410CWSMIN,KXMLBF5-26AUG291410CWSMIN-TIE,F5 TIE wins — CWS@MIN,tie,13.0,14.0,86.0,87.0,13.5,14.0,13.5,14.0,,,,,14.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,HOU@NYM,HOU,NYM,4:10 PM ET,KXMLBF5-26AUG291610HOUNYM,KXMLBF5-26AUG291610HOUNYM-HOU,F5 AWAY wins — HOU@NYM,away,34.0,35.0,65.0,66.0,34.5,35.0,34.5,35.0,,,,,35.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,HOU@NYM,HOU,NYM,4:10 PM ET,KXMLBF5-26AUG291610HOUNYM,KXMLBF5-26AUG291610HOUNYM-NYM,F5 HOME wins — HOU@NYM,home,48.0,49.0,51.0,52.0,48.5,49.0,48.5,49.0,,,,,49.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,HOU@NYM,HOU,NYM,4:10 PM ET,KXMLBF5-26AUG291610HOUNYM,KXMLBF5-26AUG291610HOUNYM-TIE,F5 TIE wins — HOU@NYM,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,KC@CLE,KC,CLE,4:10 PM ET,KXMLBF5-26AUG291610KCCLE,KXMLBF5-26AUG291610KCCLE-KC,F5 AWAY wins — KC@CLE,away,35.0,36.0,64.0,65.0,35.5,37.0,35.5,36.0,,,,,36.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,KC@CLE,KC,CLE,4:10 PM ET,KXMLBF5-26AUG291610KCCLE,KXMLBF5-26AUG291610KCCLE-CLE,F5 HOME wins — KC@CLE,home,47.0,49.0,51.0,53.0,48.0,49.0,48.0,49.0,,,,,49.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,KC@CLE,KC,CLE,4:10 PM ET,KXMLBF5-26AUG291610KCCLE,KXMLBF5-26AUG291610KCCLE-TIE,F5 TIE wins — KC@CLE,tie,16.0,17.0,83.0,84.0,16.5,17.0,16.5,17.0,,,,,17.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,LAD@DET,LAD,DET,1:10 PM ET,KXMLBF5-26AUG291310LADDET,KXMLBF5-26AUG291310LADDET-LAD,F5 AWAY wins — LAD@DET,away,51.0,53.0,47.0,49.0,52.0,53.0,52.0,53.0,,,,,53.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,LAD@DET,LAD,DET,1:10 PM ET,KXMLBF5-26AUG291310LADDET,KXMLBF5-26AUG291310LADDET-DET,F5 HOME wins — LAD@DET,home,30.0,31.0,69.0,70.0,30.5,31.0,30.5,31.0,,,,,31.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,LAD@DET,LAD,DET,1:10 PM ET,KXMLBF5-26AUG291310LADDET,KXMLBF5-26AUG291310LADDET-TIE,F5 TIE wins — LAD@DET,tie,16.0,17.0,83.0,84.0,16.5,17.0,16.5,17.0,,,,,17.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,MIA@WSH,MIA,WSH,4:05 PM ET,KXMLBF5-26AUG291605MIAWSH,KXMLBF5-26AUG291605MIAWSH-MIA,F5 AWAY wins — MIA@WSH,away,37.0,39.0,61.0,63.0,38.0,39.0,38.0,39.0,,,,,39.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,MIA@WSH,MIA,WSH,4:05 PM ET,KXMLBF5-26AUG291605MIAWSH,KXMLBF5-26AUG291605MIAWSH-WSH,F5 HOME wins — MIA@WSH,home,44.0,45.0,55.0,56.0,44.5,45.0,44.5,45.0,,,,,45.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,MIA@WSH,MIA,WSH,4:05 PM ET,KXMLBF5-26AUG291605MIAWSH,KXMLBF5-26AUG291605MIAWSH-TIE,F5 TIE wins — MIA@WSH,tie,16.0,17.0,83.0,84.0,16.5,17.0,16.5,17.0,,,,,17.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,PHI@LAA,PHI,LAA,10:07 PM ET,KXMLBF5-26AUG292207PHILAA,KXMLBF5-26AUG292207PHILAA-PHI,F5 AWAY wins — PHI@LAA,away,55.0,57.0,43.0,45.0,56.0,57.0,56.0,57.0,66.63,10.63,9.63,2.456,57.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,PHI@LAA,PHI,LAA,10:07 PM ET,KXMLBF5-26AUG292207PHILAA,KXMLBF5-26AUG292207PHILAA-LAA,F5 HOME wins — PHI@LAA,home,28.0,29.0,71.0,72.0,28.5,29.0,28.5,29.0,,,,,29.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,PHI@LAA,PHI,LAA,10:07 PM ET,KXMLBF5-26AUG292207PHILAA,KXMLBF5-26AUG292207PHILAA-TIE,F5 TIE wins — PHI@LAA,tie,14.0,15.0,85.0,86.0,14.5,15.0,14.5,15.0,,,,,15.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,PIT@STL,PIT,STL,2:15 PM ET,KXMLBF5-26AUG291415PITSTL,KXMLBF5-26AUG291415PITSTL-PIT,F5 AWAY wins — PIT@STL,away,37.0,38.0,62.0,63.0,37.5,38.0,37.5,38.0,,,,,38.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,PIT@STL,PIT,STL,2:15 PM ET,KXMLBF5-26AUG291415PITSTL,KXMLBF5-26AUG291415PITSTL-STL,F5 HOME wins — PIT@STL,home,45.0,46.0,54.0,55.0,45.5,46.0,45.5,46.0,,,,,46.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,PIT@STL,PIT,STL,2:15 PM ET,KXMLBF5-26AUG291415PITSTL,KXMLBF5-26AUG291415PITSTL-TIE,F5 TIE wins — PIT@STL,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,SD@TB,SD,TB,4:10 PM ET,KXMLBF5-26AUG291610SDTB,KXMLBF5-26AUG291610SDTB-SD,F5 AWAY wins — SD@TB,away,36.0,37.0,63.0,64.0,36.5,37.0,36.5,37.0,43.79,7.29,6.79,1.731,37.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,SD@TB,SD,TB,4:10 PM ET,KXMLBF5-26AUG291610SDTB,KXMLBF5-26AUG291610SDTB-TB,F5 HOME wins — SD@TB,home,46.0,47.0,53.0,54.0,46.5,48.0,46.5,47.0,,,,,47.0,2026-08-29T16:43:21Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-29,SD@TB,SD,TB,4:10 PM ET,KXMLBF5-26AUG291610SDTB,KXMLBF5-26AUG291610SDTB-TIE,F5 TIE wins — SD@TB,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-08-29T16:43:21Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
