date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-08-28,AZ@SF,AZ,SF,10:15 PM ET,KXMLBF5-26AUG282215AZSF,KXMLBF5-26AUG282215AZSF-AZ,F5 AWAY wins — AZ@SF,away,20.0,21.0,79.0,80.0,20.5,22.0,20.5,21.0,31.82,11.32,10.82,2.759,21.0,2026-08-29T02:46:10Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,AZ@SF,AZ,SF,10:15 PM ET,KXMLBF5-26AUG282215AZSF,KXMLBF5-26AUG282215AZSF-SF,F5 HOME wins — AZ@SF,home,65.0,67.0,33.0,35.0,66.0,61.0,66.0,67.0,,,,,67.0,2026-08-29T02:46:10Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,AZ@SF,AZ,SF,10:15 PM ET,KXMLBF5-26AUG282215AZSF,KXMLBF5-26AUG282215AZSF-TIE,F5 TIE wins — AZ@SF,tie,13.0,14.0,86.0,87.0,13.5,15.0,13.5,14.0,,,,,14.0,2026-08-29T02:46:10Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,BAL@ATH,BAL,ATH,9:40 PM ET,KXMLBF5-26AUG282140BALATH,KXMLBF5-26AUG282140BALATH-BAL,F5 AWAY wins — BAL@ATH,away,55.0,85.0,15.0,45.0,70.0,81.0,70.0,85.0,,,,,85.0,2026-08-29T02:46:10Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,BAL@ATH,BAL,ATH,9:40 PM ET,KXMLBF5-26AUG282140BALATH,KXMLBF5-26AUG282140BALATH-ATH,F5 HOME wins — BAL@ATH,home,8.0,10.0,90.0,92.0,9.0,9.0,9.0,10.0,,,,,10.0,2026-08-29T02:46:10Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,BAL@ATH,BAL,ATH,9:40 PM ET,KXMLBF5-26AUG282140BALATH,KXMLBF5-26AUG282140BALATH-TIE,F5 TIE wins — BAL@ATH,tie,7.0,9.0,91.0,93.0,8.0,7.0,8.0,9.0,,,,,9.0,2026-08-29T02:46:10Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,CWS@MIN,CWS,MIN,8:10 PM ET,,,,unknown,,,,,,,,,,,,,,2026-08-29T02:46:10Z,none,F5_MARKET_ABSENT,F5_TIE_MARKET_UNMAPPED
2026-08-28,PHI@LAA,PHI,LAA,9:38 PM ET,KXMLBF5-26AUG282138PHILAA,KXMLBF5-26AUG282138PHILAA-PHI,F5 AWAY wins — PHI@LAA,away,8.0,10.0,90.0,92.0,9.0,10.0,9.0,10.0,,,,,10.0,2026-08-29T02:46:10Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,PHI@LAA,PHI,LAA,9:38 PM ET,KXMLBF5-26AUG282138PHILAA,KXMLBF5-26AUG282138PHILAA-LAA,F5 HOME wins — PHI@LAA,home,80.0,83.0,17.0,20.0,81.5,80.0,81.5,83.0,,,,,83.0,2026-08-29T02:46:10Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,PHI@LAA,PHI,LAA,9:38 PM ET,KXMLBF5-26AUG282138PHILAA,KXMLBF5-26AUG282138PHILAA-TIE,F5 TIE wins — PHI@LAA,tie,9.0,10.0,90.0,91.0,9.5,2.0,9.5,10.0,,,,,10.0,2026-08-29T02:46:10Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-28,PIT@STL,PIT,STL,8:15 PM ET,,,,unknown,,,,,,,,,,,,,,2026-08-29T02:46:10Z,none,F5_MARKET_ABSENT,F5_TIE_MARKET_UNMAPPED
