date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-09-20,ATH@CLE,ATH,CLE,1:40 PM ET,KXMLBF5-26SEP201340ATHCLE,KXMLBF5-26SEP201340ATHCLE-ATH,F5 AWAY wins — ATH@CLE,away,26.0,27.0,73.0,74.0,26.5,26.0,26.5,27.0,25.59,-0.91,-1.41,-0.36,27.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,ATH@CLE,ATH,CLE,1:40 PM ET,KXMLBF5-26SEP201340ATHCLE,KXMLBF5-26SEP201340ATHCLE-CLE,F5 HOME wins — ATH@CLE,home,58.0,59.0,41.0,42.0,58.5,59.0,58.5,59.0,55.76,-2.74,-3.24,-0.826,59.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,ATH@CLE,ATH,CLE,1:40 PM ET,KXMLBF5-26SEP201340ATHCLE,KXMLBF5-26SEP201340ATHCLE-TIE,F5 TIE wins — ATH@CLE,tie,15.0,17.0,83.0,85.0,16.0,28.0,16.0,17.0,,,,,17.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,ATL@HOU,ATL,HOU,2:10 PM ET,KXMLBF5-26SEP201410ATLHOU,KXMLBF5-26SEP201410ATLHOU-ATL,F5 AWAY wins — ATL@HOU,away,35.0,36.0,64.0,65.0,35.5,36.0,35.5,36.0,39.61,4.11,3.61,0.921,36.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,ATL@HOU,ATL,HOU,2:10 PM ET,KXMLBF5-26SEP201410ATLHOU,KXMLBF5-26SEP201410ATLHOU-HOU,F5 HOME wins — ATL@HOU,home,48.0,49.0,51.0,52.0,48.5,49.0,48.5,49.0,40.54,-7.96,-8.46,-2.157,49.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,ATL@HOU,ATL,HOU,2:10 PM ET,KXMLBF5-26SEP201410ATLHOU,KXMLBF5-26SEP201410ATLHOU-TIE,F5 TIE wins — ATL@HOU,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,BOS@TB,BOS,TB,1:40 PM ET,KXMLBF5-26SEP201340BOSTB,KXMLBF5-26SEP201340BOSTB-BOS,F5 AWAY wins — BOS@TB,away,33.0,34.0,66.0,67.0,33.5,34.0,33.5,34.0,36.15,2.65,2.15,0.548,34.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,BOS@TB,BOS,TB,1:40 PM ET,KXMLBF5-26SEP201340BOSTB,KXMLBF5-26SEP201340BOSTB-TB,F5 HOME wins — BOS@TB,home,49.0,50.0,50.0,51.0,49.5,49.0,49.5,50.0,43.39,-6.11,-6.61,-1.686,50.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,BOS@TB,BOS,TB,1:40 PM ET,KXMLBF5-26SEP201340BOSTB,KXMLBF5-26SEP201340BOSTB-TIE,F5 TIE wins — BOS@TB,tie,15.0,16.0,84.0,85.0,15.5,15.0,15.5,16.0,,,,,16.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,CHC@CIN,CHC,CIN,1:40 PM ET,KXMLBF5-26SEP201340CHCCIN,KXMLBF5-26SEP201340CHCCIN-CHC,F5 AWAY wins — CHC@CIN,away,49.0,50.0,50.0,51.0,49.5,50.0,49.5,50.0,49.88,0.38,-0.12,-0.031,50.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,CHC@CIN,CHC,CIN,1:40 PM ET,KXMLBF5-26SEP201340CHCCIN,KXMLBF5-26SEP201340CHCCIN-CIN,F5 HOME wins — CHC@CIN,home,36.0,38.0,62.0,64.0,37.0,0.0,37.0,38.0,31.3,-5.7,-6.7,-1.709,38.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,CHC@CIN,CHC,CIN,1:40 PM ET,KXMLBF5-26SEP201340CHCCIN,KXMLBF5-26SEP201340CHCCIN-TIE,F5 TIE wins — CHC@CIN,tie,13.0,14.0,86.0,87.0,13.5,0.0,13.5,14.0,,,,,14.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,DET@CWS,DET,CWS,2:10 PM ET,KXMLBF5-26SEP201410DETCWS,KXMLBF5-26SEP201410DETCWS-DET,F5 AWAY wins — DET@CWS,away,41.0,42.0,58.0,59.0,41.5,42.0,41.5,42.0,40.29,-1.21,-1.71,-0.436,42.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,DET@CWS,DET,CWS,2:10 PM ET,KXMLBF5-26SEP201410DETCWS,KXMLBF5-26SEP201410DETCWS-CWS,F5 HOME wins — DET@CWS,home,42.0,43.0,57.0,58.0,42.5,42.0,42.5,43.0,40.03,-2.47,-2.97,-0.757,43.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,DET@CWS,DET,CWS,2:10 PM ET,KXMLBF5-26SEP201410DETCWS,KXMLBF5-26SEP201410DETCWS-TIE,F5 TIE wins — DET@CWS,tie,15.0,17.0,83.0,85.0,16.0,0.0,16.0,17.0,,,,,17.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,KC@PIT,KC,PIT,1:35 PM ET,KXMLBF5-26SEP201335KCPIT,KXMLBF5-26SEP201335KCPIT-KC,F5 AWAY wins — KC@PIT,away,42.0,43.0,57.0,58.0,42.5,43.0,42.5,43.0,18.37,-24.13,-24.63,-6.281,43.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,KC@PIT,KC,PIT,1:35 PM ET,KXMLBF5-26SEP201335KCPIT,KXMLBF5-26SEP201335KCPIT-PIT,F5 HOME wins — KC@PIT,home,41.0,42.0,58.0,59.0,41.5,41.0,41.5,42.0,,,,,42.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,KC@PIT,KC,PIT,1:35 PM ET,KXMLBF5-26SEP201335KCPIT,KXMLBF5-26SEP201335KCPIT-TIE,F5 TIE wins — KC@PIT,tie,15.0,17.0,83.0,85.0,16.0,16.0,16.0,17.0,,,,,17.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIA@SD,MIA,SD,4:10 PM ET,KXMLBF5-26SEP201610MIASD,KXMLBF5-26SEP201610MIASD-MIA,F5 AWAY wins — MIA@SD,away,39.0,40.0,60.0,61.0,39.5,40.0,39.5,40.0,41.22,1.72,1.22,0.311,40.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIA@SD,MIA,SD,4:10 PM ET,KXMLBF5-26SEP201610MIASD,KXMLBF5-26SEP201610MIASD-SD,F5 HOME wins — MIA@SD,home,44.0,45.0,55.0,56.0,44.5,45.0,44.5,45.0,40.35,-4.15,-4.65,-1.186,45.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIA@SD,MIA,SD,4:10 PM ET,KXMLBF5-26SEP201610MIASD,KXMLBF5-26SEP201610MIASD-TIE,F5 TIE wins — MIA@SD,tie,15.0,16.0,84.0,85.0,15.5,17.0,15.5,16.0,,,,,16.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIL@BAL,MIL,BAL,7:20 PM ET,KXMLBF5-26SEP201920MILBAL,KXMLBF5-26SEP201920MILBAL-MIL,F5 AWAY wins — MIL@BAL,away,57.0,58.0,42.0,43.0,57.5,58.0,57.5,58.0,62.74,5.24,4.74,1.209,58.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIL@BAL,MIL,BAL,7:20 PM ET,KXMLBF5-26SEP201920MILBAL,KXMLBF5-26SEP201920MILBAL-BAL,F5 HOME wins — MIL@BAL,home,26.0,27.0,73.0,74.0,26.5,0.0,26.5,27.0,19.82,-6.68,-7.18,-1.831,27.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIL@BAL,MIL,BAL,7:20 PM ET,KXMLBF5-26SEP201920MILBAL,KXMLBF5-26SEP201920MILBAL-TIE,F5 TIE wins — MIL@BAL,tie,15.0,17.0,83.0,85.0,16.0,19.0,16.0,17.0,,,,,17.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIN@LAA,MIN,LAA,4:07 PM ET,KXMLBF5-26SEP201607MINLAA,KXMLBF5-26SEP201607MINLAA-MIN,F5 AWAY wins — MIN@LAA,away,43.0,44.0,56.0,57.0,43.5,42.0,43.5,44.0,35.16,-8.34,-8.84,-2.254,44.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIN@LAA,MIN,LAA,4:07 PM ET,KXMLBF5-26SEP201607MINLAA,KXMLBF5-26SEP201607MINLAA-LAA,F5 HOME wins — MIN@LAA,home,39.0,41.0,59.0,61.0,40.0,41.0,40.0,41.0,46.57,6.57,5.57,1.42,41.0,2026-09-20T15:48:04Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-20,MIN@LAA,MIN,LAA,4:07 PM ET,KXMLBF5-26SEP201607MINLAA,KXMLBF5-26SEP201607MINLAA-TIE,F5 TIE wins — MIN@LAA,tie,14.0,17.0,83.0,86.0,15.5,0.0,15.5,17.0,,,,,17.0,2026-09-20T15:48:04Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
