date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-08-31,ATH@TEX,ATH,TEX,8:05 PM ET,KXMLBF5-26AUG312005ATHTEX,KXMLBF5-26AUG312005ATHTEX-ATH,F5 AWAY wins — ATH@TEX,away,3.0,4.0,96.0,97.0,3.5,4.0,3.5,4.0,,,,,4.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,ATH@TEX,ATH,TEX,8:05 PM ET,KXMLBF5-26AUG312005ATHTEX,KXMLBF5-26AUG312005ATHTEX-TEX,F5 HOME wins — ATH@TEX,home,92.0,94.0,6.0,8.0,93.0,93.0,93.0,94.0,,,,,94.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,ATH@TEX,ATH,TEX,8:05 PM ET,KXMLBF5-26AUG312005ATHTEX,KXMLBF5-26AUG312005ATHTEX-TIE,F5 TIE wins — ATH@TEX,tie,4.0,5.0,95.0,96.0,4.5,5.0,4.5,5.0,,,,,5.0,2026-09-01T00:50:25Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,BAL@COL,BAL,COL,8:40 PM ET,KXMLBF5-26AUG312040BALCOL,KXMLBF5-26AUG312040BALCOL-BAL,F5 AWAY wins — BAL@COL,away,39.0,41.0,59.0,61.0,40.0,41.0,40.0,41.0,,,,,41.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,BAL@COL,BAL,COL,8:40 PM ET,KXMLBF5-26AUG312040BALCOL,KXMLBF5-26AUG312040BALCOL-COL,F5 HOME wins — BAL@COL,home,42.0,45.0,55.0,58.0,43.5,49.0,43.5,45.0,,,,,45.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,BAL@COL,BAL,COL,8:40 PM ET,KXMLBF5-26AUG312040BALCOL,KXMLBF5-26AUG312040BALCOL-TIE,F5 TIE wins — BAL@COL,tie,13.0,15.0,85.0,87.0,14.0,15.0,14.0,15.0,,,,,15.0,2026-09-01T00:50:25Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,CWS@HOU,CWS,HOU,8:10 PM ET,KXMLBF5-26AUG312010CWSHOU,KXMLBF5-26AUG312010CWSHOU-CWS,F5 AWAY wins — CWS@HOU,away,26.0,33.0,67.0,74.0,29.5,33.0,29.5,33.0,36.98,7.48,3.98,1.015,33.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,CWS@HOU,CWS,HOU,8:10 PM ET,KXMLBF5-26AUG312010CWSHOU,KXMLBF5-26AUG312010CWSHOU-HOU,F5 HOME wins — CWS@HOU,home,36.0,46.0,54.0,64.0,41.0,42.0,41.0,46.0,,,,,46.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,CWS@HOU,CWS,HOU,8:10 PM ET,KXMLBF5-26AUG312010CWSHOU,KXMLBF5-26AUG312010CWSHOU-TIE,F5 TIE wins — CWS@HOU,tie,24.0,27.0,73.0,76.0,25.5,25.0,25.5,27.0,,,,,27.0,2026-09-01T00:50:25Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,DET@MIN,DET,MIN,7:40 PM ET,KXMLBF5-26AUG311940DETMIN,KXMLBF5-26AUG311940DETMIN-DET,F5 AWAY wins — DET@MIN,away,0.0,1.0,99.0,100.0,0.5,1.0,0.5,1.0,,,,,1.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,DET@MIN,DET,MIN,7:40 PM ET,KXMLBF5-26AUG311940DETMIN,KXMLBF5-26AUG311940DETMIN-MIN,F5 HOME wins — DET@MIN,home,99.0,100.0,0.0,1.0,99.5,99.0,99.5,100.0,,,,,100.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,DET@MIN,DET,MIN,7:40 PM ET,KXMLBF5-26AUG311940DETMIN,KXMLBF5-26AUG311940DETMIN-TIE,F5 TIE wins — DET@MIN,tie,0.0,1.0,99.0,100.0,0.5,1.0,0.5,1.0,,,,,1.0,2026-09-01T00:50:25Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,MIA@WSH,MIA,WSH,6:45 PM ET,,,,unknown,,,,,,,,,,,,,,2026-09-01T00:50:25Z,none,F5_MARKET_ABSENT,F5_TIE_MARKET_UNMAPPED
2026-08-31,MIL@CHC,MIL,CHC,7:40 PM ET,KXMLBF5-26AUG311940MILCHC,KXMLBF5-26AUG311940MILCHC-MIL,F5 AWAY wins — MIL@CHC,away,0.0,1.0,99.0,100.0,0.5,1.0,0.5,1.0,,,,,1.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,MIL@CHC,MIL,CHC,7:40 PM ET,KXMLBF5-26AUG311940MILCHC,KXMLBF5-26AUG311940MILCHC-CHC,F5 HOME wins — MIL@CHC,home,99.0,100.0,0.0,1.0,99.5,99.0,99.5,100.0,,,,,100.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,MIL@CHC,MIL,CHC,7:40 PM ET,KXMLBF5-26AUG311940MILCHC,KXMLBF5-26AUG311940MILCHC-TIE,F5 TIE wins — MIL@CHC,tie,0.0,1.0,99.0,100.0,0.5,1.0,0.5,1.0,,,,,1.0,2026-09-01T00:50:25Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,NYM@TB,NYM,TB,6:40 PM ET,,,,unknown,,,,,,,,,,,,,,2026-09-01T00:50:25Z,none,F5_MARKET_ABSENT,F5_TIE_MARKET_UNMAPPED
2026-08-31,NYY@LAA,NYY,LAA,9:38 PM ET,KXMLBF5-26AUG312138NYYLAA,KXMLBF5-26AUG312138NYYLAA-NYY,F5 AWAY wins — NYY@LAA,away,42.0,43.0,57.0,58.0,42.5,43.0,42.5,43.0,,,,,43.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,NYY@LAA,NYY,LAA,9:38 PM ET,KXMLBF5-26AUG312138NYYLAA,KXMLBF5-26AUG312138NYYLAA-LAA,F5 HOME wins — NYY@LAA,home,41.0,42.0,58.0,59.0,41.5,42.0,41.5,42.0,,,,,42.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,NYY@LAA,NYY,LAA,9:38 PM ET,KXMLBF5-26AUG312138NYYLAA,KXMLBF5-26AUG312138NYYLAA-TIE,F5 TIE wins — NYY@LAA,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-09-01T00:50:25Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,PHI@AZ,PHI,AZ,9:40 PM ET,KXMLBF5-26AUG312140PHIAZ,KXMLBF5-26AUG312140PHIAZ-PHI,F5 AWAY wins — PHI@AZ,away,43.0,44.0,56.0,57.0,43.5,43.0,43.5,44.0,,,,,44.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,PHI@AZ,PHI,AZ,9:40 PM ET,KXMLBF5-26AUG312140PHIAZ,KXMLBF5-26AUG312140PHIAZ-AZ,F5 HOME wins — PHI@AZ,home,41.0,42.0,58.0,59.0,41.5,42.0,41.5,42.0,49.87,8.37,7.87,2.007,42.0,2026-09-01T00:50:25Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,PHI@AZ,PHI,AZ,9:40 PM ET,KXMLBF5-26AUG312140PHIAZ,KXMLBF5-26AUG312140PHIAZ-TIE,F5 TIE wins — PHI@AZ,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-09-01T00:50:25Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-31,SD@CIN,SD,CIN,6:40 PM ET,,,,unknown,,,,,,,,,,,,,,2026-09-01T00:50:25Z,none,F5_MARKET_ABSENT,F5_TIE_MARKET_UNMAPPED
2026-08-31,SEA@BOS,SEA,BOS,6:45 PM ET,,,,unknown,,,,,,,,,,,,,,2026-09-01T00:50:25Z,none,F5_MARKET_ABSENT,F5_TIE_MARKET_UNMAPPED
