date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-09-22,AZ@COL,AZ,COL,8:40 PM ET,KXMLBF5-26SEP222040AZCOL,KXMLBF5-26SEP222040AZCOL-AZ,F5 AWAY wins — AZ@COL,away,53.0,54.0,46.0,47.0,53.5,54.0,53.5,54.0,61.63,8.13,7.63,1.946,54.0,2026-09-22T23:57:40Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,AZ@COL,AZ,COL,8:40 PM ET,KXMLBF5-26SEP222040AZCOL,KXMLBF5-26SEP222040AZCOL-COL,F5 HOME wins — AZ@COL,home,34.0,35.0,65.0,66.0,34.5,34.0,34.5,35.0,21.0,-13.5,-14.0,-3.57,35.0,2026-09-22T23:57:40Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,AZ@COL,AZ,COL,8:40 PM ET,KXMLBF5-26SEP222040AZCOL,KXMLBF5-26SEP222040AZCOL-TIE,F5 TIE wins — AZ@COL,tie,12.0,13.0,87.0,88.0,12.5,13.0,12.5,13.0,,,,,13.0,2026-09-22T23:57:40Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,CIN@ATL,CIN,ATL,7:15 PM ET,KXMLBF5-26SEP221915CINATL,KXMLBF5-26SEP221915CINATL-CIN,F5 AWAY wins — CIN@ATL,away,39.0,54.0,46.0,61.0,46.5,49.0,46.5,54.0,30.82,-15.68,-23.18,-5.911,54.0,2026-09-22T23:57:40Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,CIN@ATL,CIN,ATL,7:15 PM ET,KXMLBF5-26SEP221915CINATL,KXMLBF5-26SEP221915CINATL-ATL,F5 HOME wins — CIN@ATL,home,35.0,38.0,62.0,65.0,36.5,36.0,36.5,38.0,51.35,14.85,13.35,3.404,38.0,2026-09-22T23:57:40Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,CIN@ATL,CIN,ATL,7:15 PM ET,KXMLBF5-26SEP221915CINATL,KXMLBF5-26SEP221915CINATL-TIE,F5 TIE wins — CIN@ATL,tie,16.0,18.0,82.0,84.0,17.0,18.0,17.0,18.0,,,,,18.0,2026-09-22T23:57:40Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,CLE@BOS,CLE,BOS,6:45 PM ET,KXMLBF5-26SEP221845CLEBOS,KXMLBF5-26SEP221845CLEBOS-CLE,F5 AWAY wins — CLE@BOS,away,70.0,71.0,29.0,30.0,70.5,70.0,70.5,71.0,43.76,-26.74,-27.24,-6.946,71.0,2026-09-22T23:57:40Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,CLE@BOS,CLE,BOS,6:45 PM ET,KXMLBF5-26SEP221845CLEBOS,KXMLBF5-26SEP221845CLEBOS-BOS,F5 HOME wins — CLE@BOS,home,13.0,16.0,84.0,87.0,14.5,16.0,14.5,16.0,33.37,18.87,17.37,4.429,16.0,2026-09-22T23:57:40Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,CLE@BOS,CLE,BOS,6:45 PM ET,KXMLBF5-26SEP221845CLEBOS,KXMLBF5-26SEP221845CLEBOS-TIE,F5 TIE wins — CLE@BOS,tie,14.0,16.0,84.0,86.0,15.0,18.0,15.0,16.0,,,,,16.0,2026-09-22T23:57:40Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-22,CWS@KC,CWS,KC,7:40 PM ET,KXMLBF5-26SEP221940CWSKC,KXMLBF5-26SEP221940CWSKC-CWS,F5 AWAY wins — CWS@KC,away,81.0,82.0,18.0,19.0,81.5,81.0,81.5,82.0,19.83,-61.67,-62.17,-15.853,82.0,2026-09-22T23:57:40Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
