date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-08-18,ATH@KC,ATH,KC,7:40 PM ET,KXMLBF5-26AUG181940ATHKC,KXMLBF5-26AUG181940ATHKC-ATH,F5 AWAY wins — ATH@KC,away,36.0,37.0,63.0,64.0,36.5,37.0,36.5,37.0,,,,,37.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,ATH@KC,ATH,KC,7:40 PM ET,KXMLBF5-26AUG181940ATHKC,KXMLBF5-26AUG181940ATHKC-KC,F5 HOME wins — ATH@KC,home,48.0,49.0,51.0,52.0,48.5,49.0,48.5,49.0,,,,,49.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,ATH@KC,ATH,KC,7:40 PM ET,KXMLBF5-26AUG181940ATHKC,KXMLBF5-26AUG181940ATHKC-TIE,F5 TIE wins — ATH@KC,tie,14.0,15.0,85.0,86.0,14.5,15.0,14.5,15.0,,,,,15.0,2026-08-18T21:48:18Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,ATL@MIN,ATL,MIN,7:40 PM ET,KXMLBF5-26AUG181940ATLMIN,KXMLBF5-26AUG181940ATLMIN-ATL,F5 AWAY wins — ATL@MIN,away,45.0,46.0,54.0,55.0,45.5,46.0,45.5,46.0,,,,,46.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,ATL@MIN,ATL,MIN,7:40 PM ET,KXMLBF5-26AUG181940ATLMIN,KXMLBF5-26AUG181940ATLMIN-MIN,F5 HOME wins — ATL@MIN,home,39.0,40.0,60.0,61.0,39.5,40.0,39.5,40.0,,,,,40.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,ATL@MIN,ATL,MIN,7:40 PM ET,KXMLBF5-26AUG181940ATLMIN,KXMLBF5-26AUG181940ATLMIN-TIE,F5 TIE wins — ATL@MIN,tie,14.0,15.0,85.0,86.0,14.5,15.0,14.5,15.0,,,,,15.0,2026-08-18T21:48:18Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,AZ@BOS,AZ,BOS,7:10 PM ET,KXMLBF5-26AUG181910AZBOS,KXMLBF5-26AUG181910AZBOS-AZ,F5 AWAY wins — AZ@BOS,away,31.0,32.0,68.0,69.0,31.5,32.0,31.5,32.0,,,,,32.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,AZ@BOS,AZ,BOS,7:10 PM ET,KXMLBF5-26AUG181910AZBOS,KXMLBF5-26AUG181910AZBOS-BOS,F5 HOME wins — AZ@BOS,home,51.0,53.0,47.0,49.0,52.0,53.0,52.0,53.0,,,,,53.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,AZ@BOS,AZ,BOS,7:10 PM ET,KXMLBF5-26AUG181910AZBOS,KXMLBF5-26AUG181910AZBOS-TIE,F5 TIE wins — AZ@BOS,tie,15.0,16.0,84.0,85.0,15.5,16.0,15.5,16.0,,,,,16.0,2026-08-18T21:48:18Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,CWS@CHC,CWS,CHC,8:05 PM ET,KXMLBF5-26AUG182005CWSCHC,KXMLBF5-26AUG182005CWSCHC-CWS,F5 AWAY wins — CWS@CHC,away,32.0,33.0,67.0,68.0,32.5,33.0,32.5,33.0,,,,,33.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,CWS@CHC,CWS,CHC,8:05 PM ET,KXMLBF5-26AUG182005CWSCHC,KXMLBF5-26AUG182005CWSCHC-CHC,F5 HOME wins — CWS@CHC,home,52.0,53.0,47.0,48.0,52.5,53.0,52.5,53.0,,,,,53.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,CWS@CHC,CWS,CHC,8:05 PM ET,KXMLBF5-26AUG182005CWSCHC,KXMLBF5-26AUG182005CWSCHC-TIE,F5 TIE wins — CWS@CHC,tie,13.0,15.0,85.0,87.0,14.0,15.0,14.0,15.0,,,,,15.0,2026-08-18T21:48:18Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,DET@PIT,DET,PIT,6:40 PM ET,KXMLBF5-26AUG181840DETPIT,KXMLBF5-26AUG181840DETPIT-DET,F5 AWAY wins — DET@PIT,away,32.0,34.0,66.0,68.0,33.0,34.0,33.0,34.0,,,,,34.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,DET@PIT,DET,PIT,6:40 PM ET,KXMLBF5-26AUG181840DETPIT,KXMLBF5-26AUG181840DETPIT-PIT,F5 HOME wins — DET@PIT,home,50.0,51.0,49.0,50.0,50.5,50.0,50.5,51.0,,,,,51.0,2026-08-18T21:48:18Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-08-18,DET@PIT,DET,PIT,6:40 PM ET,KXMLBF5-26AUG181840DETPIT,KXMLBF5-26AUG181840DETPIT-TIE,F5 TIE wins — DET@PIT,tie,16.0,17.0,83.0,84.0,16.5,16.0,16.5,17.0,,,,,17.0,2026-08-18T21:48:18Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
